Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2014/07/19, 15:33:57, -17.409857, 13.483782, 971.14,  1080.00, 221, -2, 0.00, 1
2014/07/19, 15:35:17, -17.409821, 13.483794, 973.35,  1008.00, 220, 0, 4.20, 1
2014/07/19, 15:36:52, -17.409910, 13.483768, 974.82,  1548.00, 251, 0, 10.27, 1
2014/07/19, 15:38:00, -17.409845, 13.483926, 988.88,  1080.00, 155, 0, 18.26, 1
2014/07/19, 15:39:15, -17.409885, 13.483731, 958.52,  1404.00, 236, 0, 21.16, 1
2014/07/19, 15:40:12, -17.409901, 13.483751, 966.59,  612.00, 242, 0, 2.77, 1
2014/07/19, 15:41:05, -17.409811, 13.483924, 994.15,  216.00, 0, 0, 20.91, 1
2014/07/19, 15:41:49, -17.409861, 13.483801, 975.10,  936.00, 262, 0, 14.19, 1
2014/07/19, 15:42:48, -17.409920, 13.484187, 983.65,  1728.00, 45, 0, 41.48, 1
2014/07/19, 15:43:41, -17.409887, 13.484751, 993.11,  1872.00, 102, 0, 59.95, 1
2014/07/19, 15:44:37, -17.410072, 13.485352, 983.55,  3600.00, 116, 0, 67.00, 1
2014/07/19, 15:45:44, -17.410198, 13.485832, 985.05,  576.00, 221, 0, 52.82, 1
2014/07/19, 15:47:24, -17.410213, 13.485846, 979.27,  612.00, 158, 0, 2.23, 1
2014/07/19, 15:48:49, -17.410654, 13.485579, 982.62,  3528.00, 212, 0, 56.63, 1
2014/07/19, 15:50:24, -17.411268, 13.485272, 973.15,  1764.00, 74, 0, 75.65, 1
2014/07/19, 15:51:53, -17.411268, 13.485421, 986.35,  252.00, 101, 0, 15.81, 1
2014/07/19, 15:53:17, -17.411533, 13.484726, 990.73,  216.00, 347, 0, 79.41, 1
2014/07/19, 15:54:34, -17.411488, 13.484870, 969.97,  2052.00, 215, 0, 16.08, 1
2014/07/19, 15:55:38, -17.411379, 13.485166, 985.05,  324.00, 261, 0, 33.66, 1
2014/07/19, 15:56:16, -17.411444, 13.485069, 976.98,  1116.00, 75, 0, 12.58, 1
2014/07/19, 15:57:00, -17.411274, 13.484973, 978.91,  360.00, 49, 0, 21.47, 1
2014/07/19, 15:58:07, -17.410851, 13.485339, 976.58,  3024.00, 25, 0, 60.99, 1
2014/07/19, 15:58:56, -17.410398, 13.485621, 967.82,  3744.00, 32, 0, 58.59, 1
2014/07/19, 15:59:31, -17.410179, 13.485944, 987.94,  1188.00, 341, 0, 42.04, 1
2014/07/19, 16:00:15, -17.410215, 13.485796, 984.41,  432.00, 169, 0, 16.21, 1
2014/07/19, 16:00:59, -17.410210, 13.485894, 985.49,  0.00, 283, 0, 10.41, 1
2014/07/19, 16:01:34, -17.410086, 13.485832, 987.30,  0.00, 69, 0, 15.28, 1
2014/07/19, 16:02:09, -17.409893, 13.486117, 976.14,  0.00, 55, 0, 37.08, 1
2014/07/19, 16:02:44, -17.409662, 13.486420, 979.80,  3060.00, 60, 0, 41.15, 1
2014/07/19, 16:03:24, -17.409561, 13.486788, 986.15,  864.00, 267, 0, 40.63, 1
2014/07/19, 16:04:01, -17.409431, 13.486885, 989.03,  0.00, 52, 0, 17.74, 1
2014/07/19, 16:04:37, -17.409342, 13.487162, 983.76,  0.00, 72, 0, 31.01, 1
2014/07/19, 16:05:14, -17.409275, 13.487425, 973.09,  108.00, 311, 0, 28.88, 1
2014/07/19, 16:05:51, -17.409231, 13.487472, 981.71,  3636.00, 44, 0, 6.99, 1
2014/07/19, 16:06:27, -17.409132, 13.487701, 976.89,  0.00, 61, 0, 26.67, 1
2014/07/19, 16:07:03, -17.408800, 13.488088, 990.68,  0.00, 47, 0, 55.22, 1
2014/07/19, 16:07:40, -17.408556, 13.488505, 983.08,  4860.00, 54, 0, 51.90, 1
2014/07/19, 16:08:19, -17.408211, 13.488768, 949.66,  5220.00, 31, 0, 47.44, 1
2014/07/19, 16:08:55, -17.407810, 13.489118, 984.08,  4860.00, 63, 0, 58.03, 1
2014/07/19, 16:09:30, -17.407455, 13.489414, 987.13,  864.00, 29, 0, 50.44, 1
2014/07/19, 16:10:10, -17.407196, 13.489777, 974.08,  0.00, 63, 0, 48.09, 1
2014/07/19, 16:10:47, -17.407120, 13.490070, 971.86,  2844.00, 76, -4, 32.22, 1
2014/07/19, 16:23:37, -17.405239, 13.492846, 973.99,  0.00, 85, -2, 0.00, 1
2014/07/19, 16:24:11, -17.405060, 13.493076, 987.83,  4896.00, 44, 0, 31.49, 1
2014/07/19, 16:24:45, -17.404730, 13.493433, 994.43,  3024.00, 59, 0, 52.74, 1
2014/07/19, 16:25:19, -17.404612, 13.493795, 990.00,  0.00, 84, 0, 40.59, 1
2014/07/19, 16:25:58, -17.404367, 13.494101, 975.38,  3528.00, 31, 0, 42.38, 1
2014/07/19, 16:26:32, -17.404268, 13.494203, 959.51,  0.00, 59, 0, 15.44, 1
2014/07/19, 16:27:18, -17.404333, 13.494208, 984.11,  2376.00, 320, 0, 7.25, 1
2014/07/19, 16:27:59, -17.404284, 13.494180, 993.90,  288.00, 319, 0, 6.21, 1
2014/07/19, 16:28:34, -17.404291, 13.494244, 977.66,  0.00, 0, 0, 6.84, 1
2014/07/19, 16:29:32, -17.404320, 13.494163, 965.83,  792.00, 225, 0, 9.18, 1
2014/07/19, 16:30:12, -17.404343, 13.494132, 985.01,  504.00, 21, 0, 4.17, 1
2014/07/19, 16:30:57, -17.404230, 13.494238, 986.12,  288.00, 239, 0, 16.86, 1
2014/07/19, 16:31:57, -17.404362, 13.494192, 989.21,  900.00, 199, 0, 15.47, 1
2014/07/19, 16:32:46, -17.404346, 13.494138, 980.40,  1548.00, 192, 0, 6.00, 1
2014/07/19, 16:33:35, -17.404264, 13.494185, 977.16,  0.00, 27, 0, 10.39, 1
2014/07/19, 16:34:15, -17.404398, 13.493969, 972.32,  0.00, 260, 0, 27.34, 1
2014/07/19, 16:34:51, -17.404245, 13.493884, 967.13,  648.00, 65, 0, 19.26, 1
2014/07/19, 16:35:30, -17.404350, 13.493873, 992.38,  0.00, 281, 0, 11.73, 1
2014/07/19, 16:36:13, -17.404558, 13.493638, 984.43,  2088.00, 204, 0, 34.01, 1
2014/07/19, 16:36:52, -17.404844, 13.493503, 988.99,  6516.00, 203, 0, 34.88, 1
2014/07/19, 16:37:30, -17.405260, 13.492991, 994.54,  0.00, 212, 0, 71.35, 1
2014/07/19, 16:38:08, -17.405472, 13.492548, 992.16,  0.00, 245, 0, 52.58, 1
2014/07/19, 16:38:46, -17.405794, 13.492261, 983.11,  0.00, 215, 0, 47.00, 1
2014/07/19, 16:39:24, -17.405981, 13.491897, 983.19,  0.00, 257, 0, 43.86, 1
2014/07/19, 16:40:02, -17.406363, 13.491461, 995.20,  0.00, 251, 0, 62.80, 1
2014/07/19, 16:40:42, -17.406544, 13.491182, 985.97,  0.00, 241, 0, 35.80, 1
2014/07/19, 16:41:18, -17.406662, 13.490929, 955.46,  0.00, 324, 0, 29.88, 1
2014/07/19, 16:41:47, -17.406708, 13.490958, 983.86,  936.00, 299, -1, 5.97, 1
2014/07/19, 16:42:00, -17.406628, 13.491124, 980.38,  0.00, 219, -1, 19.73, 1
2014/07/19, 16:42:34, -17.406778, 13.491070, 984.55,  0.00, 179, 0, 17.64, 1
2014/07/19, 16:43:10, -17.407122, 13.490994, 984.16,  2736.00, 186, 0, 39.09, 1
2014/07/19, 16:43:35, -17.407143, 13.490944, 975.13,  2448.00, 46, -1, 5.80, 1
2014/07/19, 16:44:12, -17.407318, 13.490965, 986.27,  0.00, 256, 0, 19.59, 1
2014/07/19, 16:44:52, -17.407211, 13.491067, 975.79,  1332.00, 293, 0, 16.08, 1
2014/07/19, 16:45:30, -17.407047, 13.491441, 950.44,  0.00, 132, 0, 43.67, 1
2014/07/19, 16:46:32, -17.407181, 13.490981, 976.03,  1296.00, 357, 0, 51.03, 1
2014/07/19, 16:47:27, -17.407228, 13.490935, 980.88,  1512.00, 254, 0, 7.15, 1
2014/07/19, 16:48:34, -17.407160, 13.490885, 958.51,  0.00, 240, 0, 9.24, 1
2014/07/19, 16:49:21, -17.407272, 13.491064, 993.21,  1980.00, 116, 0, 22.71, 1
2014/07/19, 16:50:04, -17.407230, 13.491061, 982.98,  2196.00, 294, 0, 4.68, 1
2014/07/19, 16:50:40, -17.407240, 13.491058, 988.59,  0.00, 136, 0, 1.16, 1
2014/07/19, 16:51:18, -17.407234, 13.490987, 982.03,  0.00, 59, 0, 7.56, 1
2014/07/19, 16:51:55, -17.407131, 13.490891, 956.01,  0.00, 71, 0, 15.33, 1
2014/07/19, 16:52:35, -17.407244, 13.490997, 981.06,  612.00, 108, 0, 16.86, 1
2014/07/19, 16:53:15, -17.407150, 13.491006, 982.44,  1584.00, 296, 0, 10.50, 1
2014/07/19, 16:54:06, -17.407269, 13.491006, 991.63,  900.00, 279, 0, 13.23, 1
2014/07/19, 16:54:54, -17.407038, 13.490534, 904.94,  1224.00, 274, 0, 56.28, 1
2014/07/19, 16:55:28, -17.407209, 13.490979, 975.23,  0.00, 0, 0, 50.90, 1
2014/07/19, 16:56:03, -17.407200, 13.490941, 961.35,  0.00, 233, 0, 4.15, 1
2014/07/19, 16:56:38, -17.407316, 13.490916, 974.20,  0.00, 7, 0, 13.17, 1
2014/07/19, 16:57:13, -17.407225, 13.490982, 977.53,  0.00, 42, 0, 12.31, 1
2014/07/19, 16:57:48, -17.407190, 13.490983, 969.40,  0.00, 317, 0, 3.89, 1
2014/07/19, 16:58:27, -17.407328, 13.490847, 973.89,  2088.00, 79, 0, 21.06, 1
2014/07/19, 16:59:02, -17.407194, 13.490903, 977.67,  2520.00, 347, 0, 16.04, 1
2014/07/19, 16:59:36, -17.407225, 13.490973, 979.51,  0.00, 57, 0, 8.19, 1
2014/07/19, 17:00:10, -17.407167, 13.490970, 989.22,  468.00, 99, 0, 6.46, 1
2014/07/19, 17:00:44, -17.407221, 13.490902, 981.02,  0.00, 118, 0, 9.39, 1
2014/07/19, 17:01:20, -17.407192, 13.491142, 982.75,  0.00, 54, 0, 25.67, 1
2014/07/19, 17:01:54, -17.407265, 13.491297, 979.96,  6336.00, 109, 0, 18.34, 1
2014/07/19, 17:02:28, -17.407341, 13.491611, 977.05,  0.00, 59, 0, 34.37, 1
2014/07/19, 17:03:03, -17.407768, 13.491523, 980.79,  0.00, 176, 0, 48.39, 1
2014/07/19, 17:03:38, -17.408134, 13.491616, 976.36,  0.00, 169, 0, 41.88, 1
2014/07/19, 17:04:11, -17.408300, 13.491743, 982.95,  0.00, 171, 0, 22.85, 1
2014/07/19, 17:04:31, -17.408241, 13.491707, 958.24,  0.00, 13, -4, 7.59, 1
2014/07/19, 17:24:39, -17.406662, 13.491070, 990.84,  0.00, 332, -2, 0.00, 1
2014/07/19, 17:24:50, -17.406570, 13.491027, 974.35,  1512.00, 77, -1, 11.20, 1
2014/07/19, 17:40:20, -17.406700, 13.491115, 978.73,  1872.00, 90, -4, 17.21, 1
2014/07/19, 17:40:20, -17.406700, 13.491115, 978.73,  1872.00, 90, -2, 0.00, 1
2014/07/19, 17:43:36, -17.406509, 13.491020, 978.69,  900.00, 338, -4, 23.51, 1
2014/07/19, 17:44:07, -17.406666, 13.490989, 982.68,  504.00, 29, -3, 0.00, 1
2014/07/19, 17:47:07, -17.406605, 13.490991, 966.27,  2232.00, 329, -4, 6.79, 1
2014/07/19, 17:47:07, -17.406605, 13.490991, 966.27,  2232.00, 329, -2, 0.00, 1
2014/07/19, 17:56:20, -17.406704, 13.490955, 980.60,  504.00, 1, -4, 11.65, 1
2014/07/19, 17:56:20, -17.406704, 13.490955, 980.60,  504.00, 1, -2, 0.00, 1
2014/07/19, 18:58:40, -17.410131, 13.485703, 961.52,  648.00, 344, -4, 675.08, 1
2014/07/19, 18:58:40, -17.410131, 13.485703, 961.52,  648.00, 344, -2, 0.00, 1
2014/07/19, 19:19:47, -17.406778, 13.490745, 945.25,  1044.00, 192, -4, 652.07, 1
2014/07/19, 19:20:48, -17.406605, 13.490748, 899.86,  1584.00, 59, -2, 0.00, 1
2014/07/19, 19:22:00, -17.406601, 13.490770, 928.04,  144.00, 58, -1, 2.38, 1
2014/07/19, 19:23:24, -17.406588, 13.490660, 910.88,  1224.00, 314, -1, 11.76, 1
2014/07/19, 19:24:49, -17.406385, 13.489237, 578.12,  0.00, 0, 0, 152.66, 1
2014/07/19, 19:26:20, -17.406876, 13.491963, 1190.75,  0.00, 0, 0, 294.34, 1
2014/07/19, 19:27:39, -17.406443, 13.488988, 611.41,  2412.00, 243, -1, 319.31, 1
2014/07/19, 19:29:04, -17.406553, 13.489153, 632.06,  2916.00, 249, -1, 21.36, 1
2014/07/19, 19:30:32, -17.407446, 13.495135, 1770.40,  1872.00, 128, 0, 642.43, 1
2014/07/19, 19:32:04, -17.406708, 13.491061, 1020.76,  828.00, 247, 0, 439.98, 1
2014/07/19, 19:33:15, -17.406569, 13.491072, 1023.90,  0.00, 19, 0, 15.50, 1
2014/07/19, 19:33:51, -17.406605, 13.491099, 995.88,  1512.00, 157, 0, 4.92, 1
2014/07/19, 19:34:20, -17.406593, 13.490995, 989.09,  1404.00, 291, -1, 11.12, 1
2014/07/19, 19:34:45, -17.406685, 13.491074, 983.58,  4320.00, 102, -1, 13.23, 1
2014/07/19, 19:35:15, -17.406590, 13.491082, 1005.86,  504.00, 235, -1, 10.60, 1
2014/07/19, 19:35:48, -17.406689, 13.491059, 1004.10,  216.00, 128, 0, 11.28, 1
2014/07/19, 19:36:23, -17.406706, 13.491094, 992.16,  108.00, 326, 0, 4.17, 1
2014/07/19, 19:36:56, -17.406689, 13.491133, 1026.89,  324.00, 117, 0, 4.55, 1
2014/07/19, 19:58:34, -17.406666, 13.491028, 997.27,  252.00, 273, 0, 11.43, 1
2014/07/19, 20:03:48, -17.406673, 13.491030, 992.08,  0.00, 0, 0, 0.81, 1
2014/07/19, 20:10:04, -17.406721, 13.491064, 991.34,  0.00, 0, 0, 6.44, 1
2014/07/19, 20:27:20, -17.406731, 13.490947, 1007.34,  1008.00, 208, 0, 12.46, 1
2014/07/19, 20:28:01, -17.407421, 13.490418, 1045.12,  792.00, 132, 0, 95.06, 1
2014/07/19, 20:28:42, -17.406897, 13.490799, 1003.88,  576.00, 13, -4, 70.92, 1
2014/07/20, 08:16:35, -17.406597, 13.491025, 975.23,  540.00, 180, -2, 0.00, 1
2014/07/20, 08:52:42, -17.406597, 13.491025, 975.23,  0.00, 333, 0, 0.00, 1
2014/07/20, 08:53:14, -17.406641, 13.491017, 976.51,  0.00, 0, 0, 4.97, 1
2014/07/20, 08:53:46, -17.406599, 13.490992, 982.39,  0.00, 0, 0, 5.37, 1
2014/07/20, 08:59:15, -17.406572, 13.490971, 977.21,  0.00, 182, 0, 3.74, 1
2014/07/20, 08:59:48, -17.406605, 13.490964, 977.64,  0.00, 109, 0, 3.74, 1
2014/07/20, 09:00:21, -17.406586, 13.490972, 983.04,  0.00, 0, 0, 2.28, 1
2014/07/20, 09:15:33, -17.406647, 13.490986, 994.90,  4932.00, 267, 0, 6.94, 1
2014/07/20, 09:16:06, -17.406704, 13.490650, 990.45,  2772.00, 231, 0, 36.21, 1
2014/07/20, 09:16:38, -17.406866, 13.490402, 983.16,  0.00, 228, 0, 31.89, 1
2014/07/20, 09:17:11, -17.407080, 13.490082, 982.53,  3240.00, 259, 0, 41.46, 1
2014/07/20, 09:17:44, -17.407248, 13.490002, 1062.51,  3672.00, 248, 0, 20.52, 1
2014/07/20, 09:18:21, -17.407560, 13.489315, 996.30,  0.00, 38, 0, 80.73, 1
2014/07/20, 09:18:54, -17.407854, 13.489069, 976.57,  4572.00, 249, 0, 41.83, 1
2014/07/20, 09:19:26, -17.408197, 13.488748, 979.50,  0.00, 216, 0, 51.13, 1
2014/07/20, 09:19:58, -17.408598, 13.488531, 980.28,  0.00, 227, 0, 50.18, 1
2014/07/20, 09:20:30, -17.408787, 13.488224, 985.14,  0.00, 239, 0, 38.76, 1
2014/07/20, 09:21:03, -17.409035, 13.487897, 991.14,  4788.00, 243, 0, 44.32, 1
2014/07/20, 09:21:36, -17.409189, 13.487559, 972.53,  0.00, 260, 0, 39.74, 1
2014/07/20, 09:22:09, -17.409237, 13.487397, 999.03,  0.00, 256, 0, 18.00, 1
2014/07/20, 09:22:42, -17.409376, 13.487171, 1004.84,  0.00, 247, 0, 28.53, 1
2014/07/20, 09:23:19, -17.409407, 13.486999, 978.49,  4176.00, 235, 0, 18.57, 1
2014/07/20, 09:23:52, -17.409502, 13.486741, 997.31,  0.00, 262, 0, 29.34, 1
2014/07/20, 09:24:25, -17.409737, 13.486421, 964.39,  0.00, 230, 0, 42.84, 1
2014/07/20, 09:24:57, -17.409899, 13.486131, 985.47,  3024.00, 228, 0, 35.65, 1
2014/07/20, 09:25:30, -17.410070, 13.485886, 969.55,  0.00, 0, 0, 32.21, 1
2014/07/20, 09:26:03, -17.410051, 13.485727, 967.59,  1296.00, 164, 0, 17.00, 1
2014/07/20, 09:26:42, -17.410179, 13.485664, 978.20,  576.00, 71, 0, 15.72, 1
2014/07/20, 09:27:25, -17.410175, 13.485677, 976.11,  0.00, 357, 0, 1.45, 1
2014/07/20, 09:28:12, -17.410147, 13.485718, 974.39,  864.00, 284, 0, 5.35, 1
2014/07/20, 09:28:51, -17.410177, 13.485806, 969.66,  756.00, 248, 0, 9.91, 1
2014/07/20, 09:29:29, -17.410131, 13.485847, 950.94,  216.00, 261, 0, 6.71, 1
2014/07/20, 09:30:25, -17.410158, 13.485862, 949.07,  288.00, 150, 0, 3.40, 1
2014/07/20, 09:32:38, -17.410198, 13.485830, 962.06,  216.00, 238, 0, 5.60, 1
2014/07/20, 09:34:01, -17.410210, 13.486085, 903.07,  288.00, 322, 0, 27.09, 1
2014/07/20, 09:35:21, -17.410133, 13.485772, 997.09,  1368.00, 314, 0, 34.30, 1
2014/07/20, 09:36:08, -17.410103, 13.485701, 996.64,  0.00, 117, 0, 8.24, 1
2014/07/20, 09:37:04, -17.410057, 13.485718, 993.83,  0.00, 291, 0, 5.42, 1
2014/07/20, 09:37:39, -17.410267, 13.485626, 971.46,  864.00, 221, 0, 25.31, 1
2014/07/20, 09:38:15, -17.410244, 13.485672, 969.23,  288.00, 0, 0, 5.51, 1
2014/07/20, 09:38:49, -17.410137, 13.485753, 962.37,  324.00, 199, 0, 14.68, 1
2014/07/20, 09:39:30, -17.410109, 13.485801, 974.20,  1188.00, 185, 0, 5.97, 1
2014/07/20, 09:40:08, -17.410116, 13.485747, 964.57,  828.00, 98, 0, 5.78, 1
2014/07/20, 09:40:46, -17.410139, 13.485864, 941.84,  684.00, 66, 0, 12.67, 1
2014/07/20, 09:41:24, -17.410074, 13.485742, 974.35,  1008.00, 47, 0, 14.83, 1
2014/07/20, 09:41:59, -17.410313, 13.485623, 951.44,  936.00, 66, 0, 29.42, 1
2014/07/20, 09:42:37, -17.410143, 13.485772, 957.94,  936.00, 233, 0, 24.64, 1
2014/07/20, 09:43:12, -17.410143, 13.485735, 971.14,  900.00, 39, 0, 3.93, 1
2014/07/20, 09:43:52, -17.410122, 13.485726, 976.12,  1296.00, 122, 0, 2.52, 1
2014/07/20, 09:44:32, -17.410151, 13.485560, 1014.37,  684.00, 246, 0, 17.91, 1
2014/07/20, 09:45:13, -17.410137, 13.485658, 1000.49,  864.00, 103, 0, 10.51, 1
2014/07/20, 09:45:59, -17.410124, 13.485649, 1006.74,  396.00, 101, 0, 1.73, 1
2014/07/20, 09:46:38, -17.410034, 13.485711, 981.83,  936.00, 34, 0, 11.98, 1
2014/07/20, 09:47:19, -17.410061, 13.485678, 976.68,  216.00, 298, 0, 4.61, 1
2014/07/20, 09:48:16, -17.410097, 13.485300, 1071.02,  5292.00, 58, 0, 40.31, 1
2014/07/20, 09:49:07, -17.410078, 13.485419, 1066.75,  396.00, 162, 0, 12.80, 1
2014/07/20, 09:49:48, -17.410080, 13.485441, 1064.08,  396.00, 198, 0, 2.34, 1
2014/07/20, 09:50:31, -17.410185, 13.485438, 1058.73,  1008.00, 268, 0, 11.68, 1
2014/07/20, 09:51:12, -17.410112, 13.485191, 1110.85,  1044.00, 231, 0, 27.44, 1
2014/07/20, 09:51:46, -17.410212, 13.485695, 982.28,  0.00, 211, 0, 54.62, 1
2014/07/20, 09:52:20, -17.410151, 13.485795, 979.07,  0.00, 108, 0, 12.59, 1
2014/07/20, 09:52:55, -17.410076, 13.485764, 998.76,  864.00, 197, 0, 8.96, 1
2014/07/20, 09:53:34, -17.410219, 13.485731, 949.37,  0.00, 9, 0, 16.28, 1
2014/07/20, 09:54:15, -17.410089, 13.485766, 973.03,  612.00, 213, 0, 14.92, 1
2014/07/20, 09:54:51, -17.410215, 13.485662, 993.09,  576.00, 134, 0, 17.83, 1
2014/07/20, 09:55:31, -17.410141, 13.485762, 993.34,  0.00, 282, 0, 13.43, 1
2014/07/20, 09:56:06, -17.410301, 13.485730, 996.71,  0.00, 16, 0, 18.11, 1
2014/07/20, 09:56:43, -17.410175, 13.485734, 998.71,  0.00, 171, 0, 14.02, 1
2014/07/20, 09:57:20, -17.410231, 13.485801, 1003.45,  180.00, 346, 0, 9.45, 1
2014/07/20, 09:57:59, -17.410204, 13.485786, 983.51,  0.00, 198, 0, 3.40, 1
2014/07/20, 09:58:37, -17.410027, 13.485780, 979.76,  0.00, 168, 0, 19.69, 1
2014/07/20, 09:59:16, -17.410206, 13.485703, 974.29,  0.00, 76, 0, 21.52, 1
2014/07/20, 09:59:56, -17.410192, 13.485755, 974.71,  0.00, 14, 0, 5.73, 1
2014/07/20, 10:00:33, -17.410206, 13.485722, 972.45,  1116.00, 342, 0, 3.83, 1
2014/07/20, 10:01:08, -17.410229, 13.485745, 982.19,  0.00, 0, 0, 3.53, 1
2014/07/20, 10:01:43, -17.410294, 13.485776, 992.67,  864.00, 17, 0, 7.94, 1
2014/07/20, 10:02:18, -17.410231, 13.485723, 992.41,  0.00, 184, 0, 8.98, 1
2014/07/20, 10:02:56, -17.410254, 13.485739, 968.63,  0.00, 50, -4, 3.07, 1
2014/07/20, 10:38:40, -17.406666, 13.491036, 994.43,  0.00, 85, -2, 0.00, 1
2014/07/20, 10:39:19, -17.406704, 13.491093, 980.92,  2484.00, 75, 0, 7.38, 1
2014/07/20, 10:39:55, -17.406639, 13.491082, 977.62,  1404.00, 0, 0, 7.32, 1
2014/07/20, 10:40:35, -17.406723, 13.490969, 998.35,  2448.00, 228, -4, 15.20, 1
2014/07/20, 10:42:15, -17.406748, 13.490979, 981.49,  0.00, 308, -2, 0.00, 1
2014/07/20, 10:42:57, -17.406719, 13.490980, 999.87,  288.00, 126, 0, 3.23, 1
2014/07/20, 10:43:38, -17.406713, 13.491031, 986.44,  900.00, 103, 0, 5.45, 1
2014/07/20, 10:44:12, -17.406710, 13.491022, 986.03,  1008.00, 29, 0, 1.01, 1
2014/07/20, 10:44:47, -17.406643, 13.491111, 991.83,  3636.00, 47, 0, 12.03, 1
2014/07/20, 10:45:38, -17.406698, 13.491150, 967.81,  1224.00, 111, 0, 7.38, 1
2014/07/20, 10:47:13, -17.406647, 13.491055, 975.56,  1152.00, 187, 0, 11.57, 1
2014/07/20, 10:48:40, -17.406637, 13.490995, 1019.73,  972.00, 301, 0, 6.46, 1
2014/07/20, 10:49:58, -17.406651, 13.491092, 981.90,  972.00, 211, 0, 10.41, 1
2014/07/20, 10:51:24, -17.406605, 13.491109, 1000.81,  720.00, 259, 0, 5.42, 1
2014/07/20, 10:52:35, -17.406677, 13.491070, 999.44,  1764.00, 159, 0, 9.01, 1
2014/07/20, 10:54:02, -17.406681, 13.491071, 983.59,  1332.00, 46, 0, 0.46, 1
2014/07/20, 10:55:22, -17.406704, 13.491011, 989.51,  828.00, 69, 0, 6.86, 1
2014/07/20, 10:56:44, -17.406660, 13.491090, 980.90,  1440.00, 85, 0, 9.71, 1
2014/07/20, 10:58:06, -17.406683, 13.491104, 965.07,  2880.00, 4, 0, 2.96, 1
2014/07/20, 10:59:15, -17.406664, 13.491128, 982.91,  0.00, 180, 0, 3.31, 1
2014/07/20, 11:00:05, -17.406649, 13.491138, 978.07,  0.00, 40, 0, 1.98, 1
2014/07/20, 11:00:52, -17.406675, 13.491142, 974.17,  1512.00, 63, 0, 2.92, 1
2014/07/20, 11:01:41, -17.406641, 13.491150, 982.35,  0.00, 174, 0, 3.87, 1
2014/07/20, 11:02:39, -17.406591, 13.491131, 985.49,  1224.00, 17, 0, 5.91, 1
2014/07/20, 11:03:31, -17.406698, 13.491130, 979.73,  396.00, 200, 0, 11.90, 1
2014/07/20, 11:04:17, -17.406599, 13.491092, 996.66,  0.00, 339, 0, 11.72, 1
2014/07/20, 11:05:01, -17.406630, 13.491163, 961.96,  828.00, 333, 0, 8.28, 1
2014/07/20, 11:05:38, -17.406626, 13.491070, 985.89,  0.00, 351, 0, 9.88, 1
2014/07/20, 11:06:22, -17.406570, 13.491015, 994.50,  1800.00, 268, 0, 8.53, 1
2014/07/20, 11:07:07, -17.406609, 13.491062, 977.01,  0.00, 323, 0, 6.61, 1
2014/07/20, 11:07:43, -17.406713, 13.491046, 972.45,  0.00, 350, 0, 11.69, 1
2014/07/20, 11:08:49, -17.406683, 13.491031, 981.62,  0.00, 0, 0, 3.70, 1
2014/07/20, 11:09:25, -17.406679, 13.491060, 984.13,  0.00, 187, 0, 3.11, 1
2014/07/20, 11:09:59, -17.406721, 13.491037, 976.14,  0.00, 0, 0, 5.27, 1
2014/07/20, 11:10:04, -17.406664, 13.491098, 980.08,  0.00, 110, -1, 9.06, 1
2014/07/20, 11:10:39, -17.406595, 13.491089, 988.24,  0.00, 42, 0, 7.73, 1
2014/07/20, 11:11:13, -17.406609, 13.491073, 994.60,  468.00, 74, 0, 2.30, 1
2014/07/20, 11:11:47, -17.406641, 13.491104, 986.86,  0.00, 0, 0, 4.85, 1
2014/07/20, 11:12:21, -17.406721, 13.491103, 976.87,  0.00, 0, 0, 8.90, 1
2014/07/20, 11:12:55, -17.406713, 13.491104, 979.62,  396.00, 205, 0, 0.90, 1
2014/07/20, 11:13:31, -17.406570, 13.490991, 977.61,  1044.00, 115, 0, 19.91, 1
2014/07/20, 11:14:06, -17.406666, 13.491066, 969.45,  0.00, 92, 0, 13.31, 1
2014/07/20, 11:14:41, -17.406612, 13.491041, 984.46,  0.00, 122, 0, 6.56, 1
2014/07/20, 11:15:17, -17.406588, 13.491037, 977.42,  0.00, 303, 0, 2.70, 1
2014/07/20, 11:15:52, -17.406590, 13.491112, 986.82,  0.00, 308, 0, 7.96, 1
2014/07/20, 11:16:26, -17.406633, 13.491160, 989.18,  0.00, 45, 0, 6.99, 1
2014/07/20, 11:18:19, -17.406448, 13.491158, 994.26,  972.00, 169, 0, 20.57, 1
2014/07/20, 11:19:28, -17.406624, 13.491084, 982.94,  1296.00, 122, 0, 21.09, 1
2014/07/20, 11:19:42, -17.406605, 13.491083, 990.82,  0.00, 149, -1, 2.12, 1
2014/07/20, 11:20:25, -17.406534, 13.491087, 984.58,  0.00, 327, 0, 7.91, 1
2014/07/20, 11:21:06, -17.406620, 13.491048, 996.60,  0.00, 333, 0, 10.42, 1
2014/07/20, 11:21:54, -17.406610, 13.491104, 981.70,  576.00, 162, -1, 6.04, 1
2014/07/20, 11:22:32, -17.406662, 13.491069, 979.86,  0.00, 0, 0, 6.87, 1
2014/07/20, 11:23:08, -17.406847, 13.490930, 985.24,  1764.00, 231, 0, 25.31, 1
2014/07/20, 11:23:45, -17.407084, 13.490750, 985.13,  0.00, 192, 0, 32.55, 1
2014/07/20, 11:24:19, -17.406876, 13.490963, 986.33,  0.00, 66, 0, 32.34, 1
